timer	pos	dir	vel	steering	steering_input	brake	brake_input	throttle	throttle_input	wheelspeed	vel_kmh	is_oob	oob_counter	max_oob_percentage	oob_distance
0	(93.8481674194336, 146.5620880126953, -28)	(-0.8784151077270508, -0.47789841890335083, 0)	(0, 0, 0)	0	None	0	None	0	None	0	0	False	0	nan	1.9841119488445265
0.20000000298023224	(93.84654235839844, 146.56129455566406, -27.969741821289062)	(-0.8784468173980713, -0.47781261801719666, -0.005114044528454542)	(-0.07369977235794067, -0.04606317728757858, 0.16407839953899384)	7.067017498466728	-0.013575362259263903	0	0	0.5	0.5	0.061325735966103995	1	False	0	nan	1.9839913156104076
0.41850000992417336	(93.7629623413086, 146.51597595214844, -27.8829288482666)	(-0.8784555196762085, -0.47782379388809204, -0.0006131099071353674)	(-0.6803144812583923, -0.37417343258857727, 0.7819005250930786)	5.388113618885835	-0.009995028584242512	0	0	0.4556410619618409	0.4556410619618409	2.4569113158022673	4	False	0	nan	1.9816982423009908
0.5950000211596489	(93.62068176269531, 146.43765258789062, -27.7533016204834)	(-0.8783220648765564, -0.47791561484336853, -0.012120534665882587)	(-0.9819549918174744, -0.5443635582923889, 0.38384583592414856)	5.878600992271506	-0.012231323451538574	0	0	0.5260161083428652	0.5260161083428652	1.320565586003474	4	False	0	nan	1.9788148850978733
0.7617500238120556	(93.410888671875, 146.322509765625, -27.7399845123291)	(-0.8781583905220032, -0.4783667027950287, 0.0017541168490424752)	(-1.6819052696228027, -0.9248089790344238, -0.0934489518404007)	8.670570661485147	-0.01865972445980824	0	0	0.27215360334942273	0.27215360334942273	3.3933800611015497	7	False	0	nan	1.9742639744938364
0.9275000244379044	(93.06739044189453, 146.132568359375, -27.75579833984375)	(-0.876934289932251, -0.48048174381256104, 0.011114641092717648)	(-2.4911417961120605, -1.3506183624267578, -0.028280960395932198)	12.184755702477393	-0.025548325678028026	0	0	0.3182525123998513	0.3182525123998513	2.751152156558438	10	False	0	nan	1.968040715179475
1.0927500240504742	(92.60979461669922, 145.876220703125, -27.76198387145996)	(-0.8759662508964539, -0.4822500944137573, 0.010854100808501244)	(-2.829719066619873, -1.6039209365844727, -0.028216784819960594)	16.941598103689255	-0.03476794823272665	0	0	0.07997691066448281	0.07997691066448281	3.2382449859385685	12	False	0	nan	1.9586933623827478
1.2577500231564045	(92.12836456298828, 145.6030731201172, -27.766218185424805)	(-0.8738526105880737, -0.48617443442344666, 0.004015868529677391)	(-3.3225810527801514, -1.8014355897903442, -0.03644779697060585)	20.624532430020015	-0.04176273899598653	0	0	0.06684413921671348	0.06684413921671348	3.648695069000378	14	False	0	nan	1.9497057260688329
1.4227500222623348	(91.58541107177734, 145.2894287109375, -27.769479751586914)	(-0.8710384964942932, -0.49121400713920593, 0.0008082650601863861)	(-3.236315965652466, -1.8661071062088013, 0.017538806423544884)	23.617964999732234	-0.04752158542973668	0	0	0.25604880861500134	0.25604880861500134	4.070244183619509	13	False	0	nan	1.9403952011998824
1.5885000228881836	(90.99002838134766, 144.93946838378906, -27.768115997314453)	(-0.867376983165741, -0.49763935804367065, 0.003493742784485221)	(-3.7966935634613037, -2.2714030742645264, -0.010607843287289143)	26.641305864744357	-0.05301738575155248	0	0	0.10661440733952479	0.10661440733952479	4.4229327092771875	16	False	0	nan	1.9319945494526145
1.7545000240206718	(90.33444213867188, 144.54519653320312, -27.767662048339844)	(-0.8634160161018372, -0.5044842958450317, 0.002878767903894186)	(-4.1727776527404785, -2.523247241973877, 0.004667515400797129)	29.75336186093407	-0.05974971555773193	0	0	0.14530180344649757	0.14530180344649757	4.915955179674194	18	False	0	nan	1.922524151715538
1.9207500256597996	(89.6182861328125, 144.1041717529297, -27.767431259155273)	(-0.8581811785697937, -0.5133410692214966, 0.0024649330880492926)	(-4.497561454772949, -2.8124682903289795, 0.01757071539759636)	33.0462195548913	-0.0659239076643671	0	0	0.18953543408854986	0.18953543408854986	5.385291534664671	19	False	0	nan	1.9154971661082059
