timer	pos	dir	vel	steering	steering_input	brake	brake_input	throttle	throttle_input	wheelspeed	vel_kmh	is_oob	oob_counter	max_oob_percentage	oob_distance
0	(36.1444091796875, 129.39776611328125, -28)	(0.8844380974769592, 0.466657429933548, 0)	(0, 0, 0)	0	None	0	None	0	None	0	0	False	0	0	nan
0.10675000213086605	(36.14424514770508, 129.39768981933594, -27.987409591674805)	(0.8843944072723389, 0.46673205494880676, -0.002801154740154743)	(0.03140106797218323, 0.016928596422076225, 0.1413043588399887)	-20.987757879962064	0.04796727323148948	0	0	0.5	0.5	0.013713568269080349	1	False	0	0	nan
0.18400000501424074	(36.14992141723633, 129.400390625, -27.976781845092773)	(0.8844212293624878, 0.46667778491973877, -0.0033113453537225723)	(0.1418132483959198, 0.08737000823020935, 0.18292146921157837)	-23.592214327744284	0.04590333293679768	0	0	0.6347485048336062	0.6347485048336062	0.18480102825155875	1	False	0	0	nan
0.2467500064522028	(36.16509246826172, 129.4104461669922, -27.960304260253906)	(0.883924126625061, 0.4676254391670227, -0.002167684491723776)	(0.3731844425201416, 0.21690133213996887, 0.35935160517692566)	-23.3574751513497	0.04590180623037126	0	0	0.7362834816059242	0.7362834816059242	0.6831162549472272	2	False	0	0	nan
0.30850000958889723	(36.19012451171875, 129.42347717285156, -27.933982849121094)	(0.8838707208633423, 0.46773120760917664, 0.00038110234891064465)	(0.3824867010116577, 0.19249451160430908, 0.4746031165122986)	-23.307259399575923	0.04558919841409467	0	0	0.8568850926063462	0.8568850926063462	0.5802949528429318	2	False	0	0	nan
0.3687500115483999	(36.20830154418945, 129.4329833984375, -27.906503677368164)	(0.8838540315628052, 0.46776291728019714, 0.00012186421372462064)	(0.24106401205062866, 0.12818801403045654, 0.433271199464798)	-22.982982407651154	0.04487464628500576	0	0	1	1	0.48091292466799374	2	False	0	0	nan
0.43100001383572817	(36.22312927246094, 129.44081115722656, -27.881317138671875)	(0.8840689659118652, 0.4673520028591156, -0.0020128516480326653)	(0.2582533657550812, 0.13103632628917694, 0.3504864275455475)	-22.377420356068722	0.043587494221438254	0	0	1	1	0.37890729684215296	2	False	0	0	nan
0.49950001668184996	(36.24378204345703, 129.4506378173828, -27.859506607055664)	(0.8844439387321472, 0.46663498878479004, -0.0032878764905035496)	(0.3249574303627014, 0.15155071020126343, 0.2834423780441284)	-21.447735285599553	0.04163439196302501	0	0	1	1	0.44406706336224144	2	False	0	0	nan
0.5575000196695328	(36.26309585571289, 129.45999145507812, -27.84436798095703)	(0.8845590353012085, 0.4664185643196106, -0.0030020277481526136)	(0.3820143938064575, 0.19251631200313568, 0.2714587152004242)	-20.642971395409173	0.04029050989847104	0	0	1	1	0.5178525288147782	2	False	0	0	nan
0.6175000220537186	(36.28921890258789, 129.47344970703125, -27.828359603881836)	(0.8845453858375549, 0.4664507806301117, -0.0017658383585512638)	(0.48316797614097595, 0.24882103502750397, 0.2566429674625397)	-20.30246152263423	0.039700589295760216	0	0	1	1	0.6285161972451682	2	False	0	0	nan
0.6795000238344073	(36.322933197021484, 129.49061584472656, -27.812015533447266)	(0.8847055435180664, 0.4661496579647064, -0.0007176553481258452)	(0.5929930806159973, 0.29949870705604553, 0.267965167760849)	-19.967240996179314	0.038955343126763804	0	0	1	1	0.7856897628003146	3	False	0	0	nan
0.7417500261217356	(36.36410140991211, 129.5115509033203, -27.794572830200195)	(0.8849927186965942, 0.4656040668487549, -0.0008760319906286895)	(0.744138240814209, 0.3818616271018982, 0.31912365555763245)	-19.44089852737456	0.037883499292158444	0	0	1	1	1.028563283473407	3	False	0	0	nan
0.8037500279024243	(36.41801071166992, 129.5390167236328, -27.773193359375)	(0.885312020778656, 0.4649900496006012, 0.0026149218901991844)	(1.0338236093521118, 0.5318716764450073, 0.33370596170425415)	-18.855726413774118	0.03679099190709292	0	0	0.7224874864216941	0.7224874864216941	2.532891093551122	4	False	0	0	nan
0.8670000294223428	(36.490482330322266, 129.57644653320312, -27.755977630615234)	(0.8856242299079895, 0.4643615186214447, 0.006181066390126944)	(1.2659775018692017, 0.6270461082458496, 0.26928651332855225)	-18.41841565011442	0.03563679021320761	0	0	0.4941995885696794	0.4941995885696794	3.8496528779277996	5	False	0	0	nan
0.9267500312998891	(36.5751953125, 129.61953735351562, -27.75147819519043)	(0.8858800530433655, 0.4638207256793976, 0.00931453611701727)	(1.5941604375839233, 0.7850099205970764, 0.0682322084903717)	-18.03682190711464	0.035066606760257274	0	0	0.9122989724140614	0.9122989724140614	2.1417300485967914	6	False	0	0	nan
0.9887500340119004	(36.68320083618164, 129.6745147705078, -27.752470016479492)	(0.886196494102478, 0.4631783366203308, 0.011028080247342587)	(1.928834319114685, 0.9265159368515015, -0.021437276154756546)	-17.428411441166357	0.033710046068399904	0	0	0.6860845665321426	0.6860845665321426	3.0898025071231165	8	False	0	0	nan
1.0512500358745456	(36.81476593017578, 129.74118041992188, -27.755069732666016)	(0.88705974817276, 0.46147552132606506, 0.012855988927185535)	(2.2651312351226807, 1.1663000583648682, -0.021641168743371964)	-16.70451037665788	0.03230541376649627	0	0	0.8137833241246558	0.8137833241246558	2.4384721078253904	9	False	0	0	nan
1.1130000380799174	(36.96501159667969, 129.8172607421875, -27.757089614868164)	(0.8875073194503784, 0.4605800211429596, 0.014032254926860332)	(2.6119542121887207, 1.3312941789627075, -0.09372513741254807)	-15.945928513582217	0.031122731810503474	0	0	0.23413086350587328	0.23413086350587328	3.2245175835855555	11	False	0	0	nan
