timer	pos	dir	vel	steering	steering_input	brake	brake_input	throttle	throttle_input	wheelspeed	vel_kmh	is_oob	oob_counter	max_oob_percentage	oob_distance
0	(147.842041015625, 148.47337341308594, -28)	(-0.6674763560295105, -0.7446309924125671, 0)	(0, 0, 0)	0	None	0	None	0	None	0	0	False	0	nan	1.9866753595086462
0.20000000298023224	(147.84071350097656, 148.47174072265625, -27.969900131225586)	(-0.6668479442596436, -0.745174765586853, -0.005331448279321194)	(-0.05109412223100662, -0.08678596466779709, 0.16222554445266724)	-47.9573602050777	0.0981239214818142	0	0	0.5	0.5	0.06280164741253604	1	False	0	nan	1.9865418275082576
0.42000001296401024	(147.7755126953125, 148.39727783203125, -27.88054656982422)	(-0.6662797331809998, -0.7456989288330078, -0.0021052926313132048)	(-0.5525262951850891, -0.5772867202758789, 0.8008487224578857)	-49.37298281338888	0.09581068392816204	0	0	0.6250916379884537	0.6250916379884537	2.467600184605268	4	False	0	nan	1.9838708044199378
0.5970000252127647	(147.66864013671875, 148.2852783203125, -27.755495071411133)	(-0.6704239845275879, -0.7418607473373413, -0.013199339620769024)	(-0.7238549590110779, -0.7103427052497864, 0.4024394452571869)	-46.2688548298519	0.08880336862951634	0	0	0.2419003715153538	0.2419003715153538	2.907690565392337	4	False	0	nan	1.9863181562989016
0.7640000283718109	(147.50814819335938, 148.11666870117188, -27.74048614501953)	(-0.6719557046890259, -0.7405886650085449, 0.0019945737440139055)	(-1.2740837335586548, -1.3594892024993896, -0.1218666285276413)	-44.532019499382024	0.087434834719678	0	0	0.7880981231696962	0.7880981231696962	1.8571533289435436	7	False	0	nan	1.9897093124790601
0.9305000305175781	(147.23748779296875, 147.83787536621094, -27.75242805480957)	(-0.6770728230476379, -0.7358326315879822, 0.011079326272010803)	(-2.0351450443267822, -2.055267095565796, -0.10870609432458878)	-42.534590471291374	0.08245404321770862	0	0	0.4453406511369321	0.4453406511369321	3.3091866121059095	10	False	0	nan	1.9983073965170666
1.096250031143427	(146.83651733398438, 147.42767333984375, -27.75725746154785)	(-0.6844055652618408, -0.7289117574691772, 0.01664188876748085)	(-2.804201126098633, -2.816967010498047, 0.004834197461605072)	-39.36917391794185	0.07494304936619468	0	0	0.17641036259445736	0.17641036259445736	4.047117435710309	14	False	0	nan	1.9907849923177634
1.2620000317692757	(146.3498077392578, 146.9380340576172, -27.76271629333496)	(-0.6918027997016907, -0.7220150232315063, 0.01016281358897686)	(-3.104944944381714, -3.088773727416992, -0.020944366231560707)	-36.04475313953651	0.06990537255683257	0	0	0.1831503845007754	0.1831503845007754	4.585166634749132	16	False	0	nan	1.974243219555817
1.4277500323951244	(145.79624938964844, 146.38990783691406, -27.763629913330078)	(-0.6998143196105957, -0.7142842411994934, 0.007612645160406828)	(-3.586416721343994, -3.462906837463379, -0.0015711099840700626)	-33.80364188061028	0.06521817128179912	0	0	0.2314763747682045	0.2314763747682045	5.1183080314926155	18	False	0	nan	1.953187859033587
1.5937500335276127	(145.16636657714844, 145.77777099609375, -27.763439178466797)	(-0.7081676721572876, -0.7060135006904602, 0.006598418112844229)	(-4.05746603012085, -3.8480987548828125, 0.008365116082131863)	-31.422624524666997	0.06067160235932887	0	0	0.220396183546044	0.220396183546044	5.7772729421239655	20	False	0	nan	1.9278705183940714
