timer	pos	dir	vel	steering	steering_input	brake	brake_input	throttle	throttle_input	wheelspeed	vel_kmh	is_oob	oob_counter	max_oob_percentage	oob_distance
0	(150.3804168701172, 133.15940856933594, -28)	(-0.2797843813896179, -0.9600628614425659, 0)	(0, 0, 0)	0	None	0	None	0	None	0	0	False	0	nan	1.9901440647187663
0.1860000044107437	(150.37998962402344, 133.15817260742188, -27.972959518432617)	(-0.279369056224823, -0.9601707458496094, -0.005009147804230452)	(-0.012441021390259266, -0.09054221212863922, 0.13590611517429352)	-42.03918290520796	0.08561834221461141	0	0	0.5	0.5	0.06818093410964558	1	False	0	nan	1.9901947646154836
0.3355000149458647	(150.37257385253906, 133.12200927734375, -27.938283920288086)	(-0.2775062322616577, -0.9607212543487549, -0.0022332677617669106)	(-0.17224852740764618, -0.5027984380722046, 0.4612339735031128)	-41.6990427764852	0.08118389375400656	0	0	0.7641690511431479	0.7641690511431479	0.9253734781423443	3	False	0	nan	1.9868113244136363
0.41400001756846905	(150.3592529296875, 133.0823211669922, -27.899826049804688)	(-0.27800047397613525, -0.9605788588523865, -0.0019776257686316967)	(-0.21029318869113922, -0.6716517806053162, 0.6994720101356506)	-39.49652013689722	0.07667189694628113	0	0	0.7594185001210333	0.7594185001210333	1.939288342122104	4	False	0	nan	1.9880580306312539
0.4802500195801258	(150.3428497314453, 133.03005981445312, -27.842872619628906)	(-0.27906808257102966, -0.9602377414703369, -0.008026857860386372)	(-0.21326681971549988, -0.7840167880058289, 0.8974968194961548)	-37.7803027980798	0.07328632028118386	0	0	0.25746971800385066	0.25746971800385066	2.7329989610904133	4	False	0	nan	1.9886107197102867
0.5420000227168202	(150.32818603515625, 132.98300170898438, -27.79590606689453)	(-0.2805929183959961, -0.95969557762146, -0.015877114608883858)	(-0.27175629138946533, -0.8353127241134644, 0.6861675381660461)	-35.419262414720244	0.06832112034993522	0	0	0.40155607444000957	0.40155607444000957	3.0683610541365756	4	False	0	nan	1.9890065810947086
0.606250025331974	(150.3096923828125, 132.9277801513672, -27.761693954467773)	(-0.28262412548065186, -0.9590831398963928, -0.016825353726744652)	(-0.3085615038871765, -0.9109065532684326, 0.4436093270778656)	-32.859695814529694	0.06362482320895765	0	0	0.3639590704614887	0.3639590704614887	2.867907805068665	4	False	0	nan	1.9907020703940317
0.672000028192997	(150.2866973876953, 132.86090087890625, -27.742097854614258)	(-0.28236645460128784, -0.9592592716217041, -0.009531315416097641)	(-0.36177679896354675, -1.1457023620605469, 0.24268151819705963)	-31.752736026283383	0.062315507933231484	0	0	0.30671046822700215	0.30671046822700215	2.847877550870021	4	False	0	nan	1.9933270443627036
0.7382500302046537	(150.2602996826172, 132.7738037109375, -27.737613677978516)	(-0.2815915048122406, -0.9595323801040649, -0.0019289772026240826)	(-0.46509867906570435, -1.5143052339553833, -0.029260538518428802)	-32.503960986268176	0.06398642198474487	0	0	0.530335165084251	0.530335165084251	2.365571197603373	6	False	0	nan	1.9933490937111038
0.8052500318735838	(150.22450256347656, 132.660888671875, -27.74189567565918)	(-0.2826721966266632, -0.9592121839523315, 0.0028684628196060658)	(-0.5745365619659424, -1.8281326293945312, -0.10016675293445587)	-32.61773772056487	0.06370456739603717	0	0	0.9999936171674061	0.9999936171674061	1.9729085649685287	7	False	0	nan	1.9948845508188127
0.8687500339001417	(150.18411254882812, 132.5350799560547, -27.747135162353516)	(-0.28483471274375916, -0.9585610032081604, 0.005484758410602808)	(-0.7255541682243347, -2.17741322517395, -0.06399700045585632)	-31.301461852952546	0.0607930197331489	0	0	0.9999853835601243	0.9999853835601243	2.3533890630784713	8	False	0	nan	1.9970789069085864
