timer	pos	dir	vel	steering	steering_input	brake	brake_input	throttle	throttle_input	wheelspeed	vel_kmh	is_oob	oob_counter	max_oob_percentage	oob_distance
0	(169.50262451171875, 10.996723175048828, -28)	(0.22078998386859894, 0.9753214120864868, 0)	(0, 0, 0)	0	None	0	None	0	None	0	0	False	0	0	nan
0.20000000298023224	(169.5030975341797, 10.99844741821289, -27.96982192993164)	(0.2209380716085434, 0.9752744436264038, -0.0051229363307356834)	(0.012097056023776531, 0.08656255900859833, 0.16363400220870972)	13.488751161348501	-0.026357187697217305	0	0	0.5	0.5	0.058547821199489064	1	False	0	0	nan
0.42400001361966133	(169.5263214111328, 11.098700523376465, -27.875843048095703)	(0.22127018868923187, 0.9752119183540344, -0.0011232516262680292)	(0.17802082002162933, 0.8266180157661438, 0.842276394367218)	13.335552144910055	-0.02583534671077291	0	0	1	1	2.5218609242175862	4	False	0	0	nan
0.6222500242292881	(169.56443786621094, 11.276185989379883, -27.746652603149414)	(0.22046037018299103, 0.9753645658493042, -0.007820341736078262)	(0.23981410264968872, 1.0805959701538086, 0.21433673799037933)	12.878820563918099	-0.02499049901664745	0	0	0.6375037978019213	0.6375037978019213	2.0455318412673904	4	False	0	0	nan
0.7992500327527523	(169.622314453125, 11.544086456298828, -27.749181747436523)	(0.22002673149108887, 0.9754610061645508, 0.008006695657968521)	(0.4498259425163269, 1.9482474327087402, -0.07521872967481613)	12.753655103315513	-0.02512665375970421	0	0	1	1	2.0100779203005312	7	False	0	0	nan
0.9677500389516354	(169.7101593017578, 11.950589179992676, -27.75791358947754)	(0.21802791953086853, 0.975858211517334, 0.01282561756670475)	(0.6449514627456665, 2.939786195755005, -0.02737455628812313)	11.781821579576413	-0.023174570244070877	0	0	0.999998013647574	0.999998013647574	3.0202970100117827	11	False	0	0	nan
1.134000040590763	(169.8341064453125, 12.526119232177734, -27.759990692138672)	(0.21503593027591705, 0.9764685034751892, 0.016392292454838753)	(0.8784739375114441, 4.036899089813232, 0.004022645298391581)	11.090630520834992	-0.02115735172002854	0	0	0.9999950457808346	0.9999950457808346	4.0104791489160565	15	False	0	0	nan
1.2990000434219837	(169.992919921875, 13.270489692687988, -27.760536193847656)	(0.2117699533700943, 0.9771682024002075, 0.01719590090215206)	(1.0648761987686157, 4.933479309082031, 0.0044995746575295925)	9.807563586437869	-0.018656356375283747	0	0	0.7989403741545931	0.7989403741545931	5.51268101727325	18	False	0	0	nan
1.4637500457465649	(170.1819305419922, 14.16960620880127, -27.760921478271484)	(0.2084299921989441, 0.9779044389724731, 0.01612265408039093)	(1.2623151540756226, 5.969703674316406, 0.012036517262458801)	8.002571057240797	-0.015065277939390408	0	0	0.7897188668396465	0.7897188668396465	6.553649065160515	22	False	0	0	nan
1.6292500458657742	(170.40321350097656, 15.23598861694336, -27.760282516479492)	(0.20551443099975586, 0.9785179495811462, 0.016322536394000053)	(1.4618468284606934, 6.948607921600342, 0.006673604715615511)	6.309467175662172	-0.011605431115351877	0	0	0.8195641593860876	0.8195641593860876	7.632950059077448	26	False	0	0	nan
1.7942500449717045	(170.65631103515625, 16.466693878173828, -27.75983238220215)	(0.20281094312667847, 0.9790836572647095, 0.01621449738740921)	(1.620537519454956, 7.944453716278076, -0.016418015584349632)	3.885177407675974	-0.006903397615469884	0	0	0.7552488617092491	0.7552488617092491	8.322812821824723	29	False	0	0	nan
1.9600000455975533	(170.9422607421875, 17.8637752532959, -27.75981903076172)	(0.2011253833770752, 0.9794314503669739, 0.016200842335820198)	(1.8284718990325928, 8.93702220916748, 0.005313970148563385)	2.4635115687432485	-0.004555699598910595	0	0	0.7646974380454941	0.7646974380454941	9.491050370930722	33	False	0	0	nan
2.125250045210123	(171.2591094970703, 19.419206619262695, -27.760387420654297)	(0.19966040551662445, 0.9797391295433044, 0.015713730826973915)	(1.995599627494812, 9.867683410644531, -0.01192783284932375)	2.0409435060427406	-0.004086804298763006	0	0	0.5705158864874795	0.5705158864874795	10.247660490056031	36	False	0	0	nan
2.2917500473558903	(171.6058807373047, 21.131818771362305, -27.761646270751953)	(0.19832240045070648, 0.9800401329994202, 0.013767216354608536)	(2.14858341217041, 10.664238929748535, -0.02130514197051525)	2.328469003643228	-0.004633811630845694	0	0	0.5234808997181947	0.5234808997181947	11.06439483040595	39	False	0	0	nan
