timer	pos	dir	vel	steering	steering_input	brake	brake_input	throttle	throttle_input	wheelspeed	vel_kmh	is_oob	oob_counter	max_oob_percentage	oob_distance
0	(135.4951171875, 41.83100891113281, -28)	(-0.18772830069065094, 0.9822210669517517, 0)	(0, 0, 0)	0	None	0	None	0	None	0	0	False	0	nan	1.9822796809575138
0.20000000298023224	(135.49412536621094, 41.83324432373047, -27.97006607055664)	(-0.18893544375896454, 0.9819744229316711, -0.00544267613440752)	(-0.04456458240747452, 0.10002122074365616, 0.16197599470615387)	-64.09849458430992	0.15026040134074356	0	0	0.5	0.5	0.07245270915826227	1	False	0	nan	1.981671207321792
0.42225001379847527	(135.4756622314453, 41.93479537963867, -27.877214431762695)	(-0.18853090703487396, 0.9820582866668701, -0.0042030648328363895)	(-0.08814408630132675, 0.8117091059684753, 0.8410150408744812)	-78.11563741700988	0.14728062665898675	0	0	0.4854844162050004	0.4854844162050004	2.6212416862269645	4	False	0	nan	1.980256723049598
0.6037500239908695	(135.45278930664062, 42.09113311767578, -27.75290298461914)	(-0.17909881472587585, 0.9837085604667664, -0.01552283763885498)	(-0.13500294089317322, 1.0384223461151123, 0.40095147490501404)	-64.62984416962284	0.12201358269048306	0	0	0.2688816133621882	0.2688816133621882	2.814298976279785	4	False	0	nan	1.9835537392832434
0.7717500291764736	(135.41708374023438, 42.32460021972656, -27.737689971923828)	(-0.17446285486221313, 0.9846636652946472, -0.00040653854375705123)	(-0.2755318880081177, 1.7966539859771729, -0.11206408590078354)	-58.5507544538713	0.11418791553056218	0	0	0.7813903266325265	0.7813903266325265	1.9601516431258066	7	False	0	nan	1.9869503973804856
0.9370000287890434	(135.3663787841797, 42.70785903930664, -27.74901008605957)	(-0.16537798941135406, 0.9861899018287659, 0.008921561762690544)	(-0.38242241740226746, 2.853034257888794, -0.06855589896440506)	-54.20315099617068	0.10353637466418243	0	0	0.382780312340093	0.382780312340093	3.5786556532458142	10	False	0	nan	1.9996733855458166
1.1025000289082527	(135.2965850830078, 43.24789810180664, -27.75807762145996)	(-0.1543934941291809, 0.9879506230354309, 0.010780791752040386)	(-0.4346522390842438, 3.4154818058013916, -0.06861621886491776)	-48.45397058393159	0.09320993681847586	0	0	0.12195422340408502	0.12195422340408502	3.368098199088884	12	False	0	nan	1.9852098081750018
1.2677500285208225	(135.22384643554688, 43.85346603393555, -27.763059616088867)	(-0.14304803311824799, 0.9896965622901917, 0.006152937188744545)	(-0.4407137632369995, 3.8252594470977783, -0.03143239766359329)	-44.52575545612497	0.08599640800034014	0	0	0.07738992419671764	0.07738992419671764	3.8339389295009934	14	False	0	nan	1.9649164841759104
1.4330000281333923	(135.150146484375, 44.512454986572266, -27.765050888061523)	(-0.13114528357982635, 0.991358757019043, 0.0029626733157783747)	(-0.48279890418052673, 4.275384902954102, -0.011939024552702904)	-41.78327093822107	0.08073864114793079	0	0	0.12833100657169713	0.12833100657169713	4.319530484443491	15	False	0	nan	1.943862892241848
1.5985000282526016	(135.0747833251953, 45.250980377197266, -27.765552520751953)	(-0.11874500662088394, 0.9929195642471313, 0.0032055038027465343)	(-0.4723806381225586, 4.715384483337402, 0.01803058199584484)	-39.55908208718106	0.07704229342581938	0	0	0.16857895725024458	0.16857895725024458	4.830948558971946	17	False	0	nan	1.9166461908626224
1.7637500278651714	(135.00070190429688, 46.06745910644531, -27.76507568359375)	(-0.10601123422384262, 0.9943592548370361, 0.0033809638116508722)	(-0.43177711963653564, 5.2132344245910645, -0.006255609914660454)	-38.33501446637241	0.07477121253857905	0	0	0.18943135695648075	0.18943135695648075	5.256917548266651	19	False	0	nan	1.88521015904911
1.9290000274777412	(134.9309844970703, 46.96682357788086, -27.76472282409668)	(-0.09236209094524384, 0.9957196116447449, 0.0034339718986302614)	(-0.3766689598560333, 5.688467979431152, -0.014356128871440887)	-41.456886341818745	0.0845896177616311	0	0	0.19870905180603843	0.19870905180603843	5.866037821119557	21	False	0	nan	1.8492648455668972
2.094250027090311	(134.8726043701172, 47.93892288208008, -27.76447296142578)	(-0.07588309049606323, 0.997111976146698, 0.0030960056465119123)	(-0.32389894127845764, 6.117406845092773, -0.002913128584623337)	-45.19175609641049	0.08679203454433865	0	0	0.1964582289415313	0.1964582289415313	6.206039023727795	22	False	0	nan	1.802635458875563
2.2592500261962414	(134.8265838623047, 48.98662185668945, -27.76468276977539)	(-0.05838453024625778, 0.9982902407646179, 0.0027925295289605856)	(-0.2545052468776703, 6.580605506896973, 0.003003206104040146)	-40.14556753368032	0.07802187516835224	0	0	0.2144622509901544	0.2144622509901544	6.823848510814804	24	False	0	nan	1.748353607976444
2.4245000295341015	(134.79356384277344, 50.11082458496094, -27.76433563232422)	(-0.040977612137794495, 0.9991564750671387, 0.002663456369191408)	(-0.13547952473163605, 7.011423110961914, -0.004948094952851534)	-38.54228760017589	0.0749931107612969	0	0	0.19719821567164703	0.19719821567164703	7.131266903609005	25	False	0	nan	1.6882382608523347
2.5892500318586826	(134.77822875976562, 51.30252456665039, -27.763391494750977)	(-0.023304257541894913, 0.9997264742851257, 0.001991111086681485)	(-0.05469647794961929, 7.446310520172119, 0.008261563256382942)	-37.93880727887119	0.07430387046293627	0	0	0.2146759738436192	0.2146759738436192	7.604365986769027	27	False	0	nan	1.6215165001892438
